Date : 2025-02-24 13:52:40
Directory : /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere
Total : 194 files,  52370 codes, 50 comments, 817 blanks, all 53237 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src/components/widget/job/widget                                                                                                                        |          3 |        124 |          0 |          9 |        133 |
| src/components/widget/notification                                                                                                                      |          6 |        385 |          0 |         21 |        406 |
| src/components/widget/notification (Files)                                                                                                              |          5 |        342 |          0 |         18 |        360 |
| src/components/widget/notification/buttons                                                                                                              |          1 |         43 |          0 |          3 |         46 |
| src/components/widget/profile                                                                                                                           |          6 |        454 |          1 |         19 |        474 |
| src/components/widget/progressbar                                                                                                                       |          1 |         37 |          0 |          4 |         41 |
| src/components/widget/review                                                                                                                            |          2 |        226 |          0 |         21 |        247 |
| src/components/widget/search                                                                                                                            |          2 |         98 |          0 |          9 |        107 |
| src/components/widget/stats                                                                                                                             |          2 |        192 |          0 |          6 |        198 |
| src/components/widget/task                                                                                                                              |          6 |        800 |          0 |         28 |        828 |
| src/config                                                                                                                                              |          1 |          4 |          0 |          3 |          7 |
| src/config/apiConfig                                                                                                                                    |          1 |          4 |          0 |          3 |          7 |
| src/constants                                                                                                                                           |          2 |         34 |          0 |          2 |         36 |
| src/pages                                                                                                                                               |         37 |      4,111 |         14 |        186 |      4,311 |
| src/pages (Files)                                                                                                                                       |          1 |         94 |          0 |          4 |         98 |
| src/pages/chat                                                                                                                                          |          5 |        376 |          0 |         30 |        406 |
| src/pages/chat (Files)                                                                                                                                  |          3 |        304 |          0 |         24 |        328 |
| src/pages/chat/manager                                                                                                                                  |          2 |         72 |          0 |          6 |         78 |
| src/pages/common                                                                                                                                        |          2 |         73 |          1 |          8 |         82 |
| src/pages/createdByMe                                                                                                                                   |         10 |      1,338 |          0 |         62 |      1,400 |
| src/pages/dashboard                                                                                                                                     |          1 |        183 |          0 |          5 |        188 |
| src/pages/myApplications                                                                                                                                |          1 |         53 |          0 |          3 |         56 |
| src/pages/profile                                                                                                                                       |          9 |        942 |          1 |         36 |        979 |
| src/pages/search                                                                                                                                        |          4 |        236 |          0 |         16 |        252 |
| src/pages/search (Files)                                                                                                                                |          3 |        179 |          0 |         12 |        191 |
| src/pages/search/manager                                                                                                                                |          1 |         57 |          0 |          4 |         61 |
| src/pages/signin                                                                                                                                        |          2 |        199 |          1 |          6 |        206 |
| src/pages/signin (Files)                                                                                                                                |          1 |        181 |          1 |          4 |        186 |
| src/pages/signin/manager                                                                                                                                |          1 |         18 |          0 |          2 |         20 |
| src/pages/signup                                                                                                                                        |          2 |        617 |         11 |         16 |        644 |
| src/pages/signup (Files)                                                                                                                                |          1 |        571 |         11 |         14 |        596 |
| src/pages/signup/manager                                                                                                                                |          1 |         46 |          0 |          2 |         48 |
| src/router                                                                                                                                              |          2 |         43 |          0 |          6 |         49 |
| src/service                                                                                                                                             |         10 |        367 |          0 |         29 |        396 |
| src/store                                                                                                                                               |          1 |     22,026 |          0 |          1 |     22,027 |
| src/utils                                                                                                                                               |          8 |        244 |          2 |         50 |        296 |
| src/utils (Files)                                                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| src/utils/address                                                                                                                                       |          1 |         22 |          0 |          4 |         26 |
| src/utils/date                                                                                                                                          |          4 |         86 |          2 |         18 |        106 |
| src/utils/validators                                                                                                                                    |          2 |        131 |          0 |         27 |        158 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/README.md                                                                   | Markdown       |         38 |          0 |         33 |         71 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/package-lock.json                                                           | JSON           |     18,051 |          0 |          1 |     18,052 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/package.json                                                                | JSON           |         44 |          0 |          1 |         45 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/public/index.html                                                           | HTML           |         20 |         23 |          1 |         44 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/public/manifest.json                                                        | JSON           |         25 |          0 |          1 |         26 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/App.css                                                                 | CSS            |         33 |          0 |          6 |         39 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/App.js                                                                  | JavaScript     |         19 |          0 |          6 |         25 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/App.test.js                                                             | JavaScript     |          7 |          0 |          2 |          9 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/Chat.jsx                                                                | JavaScript JSX |         61 |          2 |          7 |         70 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/assets/images/icon/arrow.svg                                            | XML            |          3 |          0 |          1 |          4 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/assets/images/icon/drop-dpwn-icon.svg                                   | XML            |          3 |          0 |          1 |          4 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/assets/images/logo/logo.svg                                             | XML            |          9 |          0 |          1 |         10 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/authManager/AuthManager.js                               | JavaScript     |          0 |          0 |          1 |          1 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/contextManager/ContextManager.js                         | JavaScript     |         19 |          0 |          4 |         23 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/contextManager/SocketContextManager.js                   | JavaScript     |         34 |          1 |          8 |         43 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/contextManager/ToastContextManager.js                    | JavaScript     |         35 |          0 |          8 |         43 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/jobManager/JobManager.js                                 | JavaScript     |         17 |          0 |          2 |         19 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/projectManager/ProjectManager.js                         | JavaScript     |        203 |          0 |          4 |        207 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/reviewManager/ReviewManager.js                           | JavaScript     |         30 |          0 |          2 |         32 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/searchManager/SearchManager.js                           | JavaScript     |         36 |          0 |          2 |         38 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/common/manager/userManager/UserManager.js                               | JavaScript     |         14 |          0 |          2 |         16 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/animations/FloatAnimation.jsx                                | JavaScript JSX |         16 |          0 |          4 |         20 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/animations/ProgressbarLoadAnimation.jsx                      | JavaScript JSX |         13 |          0 |          4 |         17 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/BackButton.jsx                                       | JavaScript JSX |         54 |          0 |          4 |         58 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/CancelButton.jsx                                     | JavaScript JSX |         33 |          0 |          3 |         36 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/ChatButton.jsx                                       | JavaScript JSX |         55 |          0 |          3 |         58 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/CreateTaskButton.jsx                                 | JavaScript JSX |         51 |          0 |          3 |         54 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/DeleteButton.jsx                                     | JavaScript JSX |         37 |          0 |          3 |         40 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/EditJobDetailsButton.jsx                             | JavaScript JSX |         47 |          0 |          3 |         50 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/FilledButton.jsx                                     | JavaScript JSX |         60 |          0 |          7 |         67 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/LikeButton.jsx                                       | JavaScript JSX |         34 |          0 |          3 |         37 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/OutlinedButton.jsx                                   | JavaScript JSX |         29 |          0 |          3 |         32 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/SendMessageButton.jsx                                | JavaScript JSX |         16 |          0 |          3 |         19 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/ShareButton.jsx                                      | JavaScript JSX |         35 |          0 |          3 |         38 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TextAreaFilledButton.jsx                             | JavaScript JSX |         30 |          0 |          4 |         34 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TextAreaOutlinedButton.jsx                           | JavaScript JSX |         31 |          0 |          4 |         35 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TickButtonRound.jsx                                  | JavaScript JSX |         33 |          0 |          3 |         36 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/buttons/TransparentButton.jsx                                | JavaScript JSX |         21 |          0 |          3 |         24 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/CalendarIcon.jsx                                        | JavaScript JSX |         16 |          0 |          3 |         19 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/CancelIcon.jsx                                          | JavaScript JSX |         23 |          0 |          3 |         26 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ClockIcon.jsx                                           | JavaScript JSX |         17 |          0 |          3 |         20 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/DeleteIcon.jsx                                          | JavaScript JSX |         23 |          0 |          3 |         26 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/EditIcon.jsx                                            | JavaScript JSX |         24 |          0 |          3 |         27 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/GenerateProfileIconFromWord.jsx                         | JavaScript JSX |         34 |          0 |          3 |         37 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/HeartIcon.jsx                                           | JavaScript JSX |         16 |          0 |          3 |         19 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/Icon.jsx                                                | JavaScript JSX |         10 |          0 |          3 |         13 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/LikeIcon.jsx                                            | JavaScript JSX |         30 |          0 |          3 |         33 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/LinkIcon.jsx                                            | JavaScript JSX |         16 |          0 |          3 |         19 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/MarkAsReadIcon.jsx                                      | JavaScript JSX |         24 |          0 |          3 |         27 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/MessageIcon.jsx                                         | JavaScript JSX |         31 |          0 |          3 |         34 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/NotificationIcon.jsx                                    | JavaScript JSX |         29 |          0 |          3 |         32 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ProfileIcon.jsx                                         | JavaScript JSX |         21 |          0 |          3 |         24 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SearchIcon.jsx                                          | JavaScript JSX |         19 |          0 |          3 |         22 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SendMessageIcon.jsx                                     | JavaScript JSX |         29 |          0 |          3 |         32 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/SettingIcon.jsx                                         | JavaScript JSX |         33 |          0 |          3 |         36 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/ShareIcon.jsx                                           | JavaScript JSX |         21 |          0 |          3 |         24 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/icon/TickIcon.jsx                                            | JavaScript JSX |         24 |          0 |          3 |         27 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/BorderlessInputbar.jsx                                 | JavaScript JSX |         70 |          0 |          7 |         77 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/DateInput.jsx                                          | JavaScript JSX |        100 |          0 |          8 |        108 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/InputbarWithAnimatedPlaceholder.jsx                    | JavaScript JSX |         84 |          0 |         10 |         94 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/PhoneNumberInput.jsx                                   | JavaScript JSX |        112 |          0 |          6 |        118 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/chip/InterestChip.jsx                                  | JavaScript JSX |         28 |          0 |          2 |         30 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/dropdown/CustomDropDown.jsx                            | JavaScript JSX |        158 |          0 |          6 |        164 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/otp/OtpInputBoxes.jsx                                  | JavaScript JSX |         85 |          0 |         12 |         97 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/search/SearchInputChat.jsx                             | JavaScript JSX |         92 |          0 |          7 |         99 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/search/SearchInputMenubar.jsx                          | JavaScript JSX |        106 |          0 |          8 |        114 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/textarea/TextAreaWithActions.jsx                       | JavaScript JSX |         75 |          0 |          7 |         82 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/input/textarea/TextAreaWithWordCount.jsx                     | JavaScript JSX |         79 |          0 |          7 |         86 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/logo/LogoMenu.jsx                                            | JavaScript JSX |         33 |          0 |          3 |         36 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MenubarDashboard.jsx                                 | JavaScript JSX |        236 |          0 |          4 |        240 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MenubarDefault.jsx                                   | JavaScript JSX |         70 |          0 |          5 |         75 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/MessageMenubarDashboard.jsx                          | JavaScript JSX |         50 |          0 |          3 |         53 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/menubar/sideMenuBar/SideMenuBarDesktop.jsx                   | JavaScript JSX |        290 |          0 |          7 |        297 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/spacer/MenubarSpacer.jsx                                     | JavaScript JSX |          7 |          0 |          2 |          9 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/spacer/MenubarSpacerDashboard.jsx                            | JavaScript JSX |          5 |          0 |          3 |          8 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/BasicWidgetTitleBlock.jsx                         | JavaScript JSX |         47 |          0 |          4 |         51 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/ResendOtpTextBlock.jsx                            | JavaScript JSX |         36 |          0 |          3 |         39 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/SigninTextBlock.jsx                               | JavaScript JSX |         19 |          0 |          3 |         22 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/textBlocks/SignupTextBlock.jsx                               | JavaScript JSX |         19 |          0 |          3 |         22 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationFullCard.jsx                   | JavaScript JSX |        180 |          0 |          3 |        183 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationsAndTasksCreatedByMeWidget.jsx | JavaScript JSX |         13 |          0 |          3 |         16 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/ApplicationsCreatedByMeWidget.jsx         | JavaScript JSX |        156 |          0 |          6 |        162 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/application/MyApplicationWidget.jsx                   | JavaScript JSX |        136 |          0 |          3 |        139 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chat/ChatCard.jsx                                     | JavaScript JSX |         93 |          0 |          5 |         98 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chat/ChatMessageCard.jsx                              | JavaScript JSX |         65 |          0 |          3 |         68 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chat/NoChatsSelected.jsx                              | JavaScript JSX |         37 |          0 |          4 |         41 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/ActionChip.jsx                                   | JavaScript JSX |         38 |          0 |          3 |         41 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/PriceChip.jsx                                    | JavaScript JSX |         31 |          0 |          3 |         34 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/SkillChip.jsx                                    | JavaScript JSX |         28 |          0 |          3 |         31 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/SuccesssChip.jsx                                 | JavaScript JSX |         31 |          0 |          4 |         35 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/chip/TypeChip.jsx                                     | JavaScript JSX |         40 |          0 |          4 |         44 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/common/Toast.jsx                                      | JavaScript JSX |         13 |          0 |          3 |         16 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/duration/DeadlineWidget.jsx                           | JavaScript JSX |         66 |          0 |          3 |         69 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/duration/DurationWidget.jsx                           | JavaScript JSX |         68 |          0 |          3 |         71 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/education/EditEducation.jsx                           | JavaScript JSX |         91 |          0 |          7 |         98 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/education/EducationCard.jsx                           | JavaScript JSX |         70 |          0 |          4 |         74 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/experience/EditExperience.jsx                         | JavaScript JSX |         95 |          0 |          7 |        102 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/experience/ExperienceCard.jsx                         | JavaScript JSX |         74 |          0 |          5 |         79 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/job/JobDetails.jsx                                    | JavaScript JSX |        139 |          0 |          5 |        144 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/job/JobFullCard.jsx                                   | JavaScript JSX |        177 |          0 |          3 |        180 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/job/widget/DescriptionWidget.jsx                      | JavaScript JSX |         27 |          0 |          3 |         30 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/job/widget/JobDetailContentWidget.jsx                 | JavaScript JSX |         52 |          0 |          3 |         55 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/job/widget/ListWidget.jsx                             | JavaScript JSX |         45 |          0 |          3 |         48 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/ContentNotification.jsx                  | JavaScript JSX |         70 |          0 |          4 |         74 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/JobNotification.jsx                      | JavaScript JSX |         90 |          0 |          4 |         94 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/MessageNotification.jsx                  | JavaScript JSX |         83 |          0 |          4 |         87 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/NotificationBottomSection.jsx            | JavaScript JSX |         30 |          0 |          3 |         33 |
| /Users/saugatsingh/Documents/Projects/co-sphere/co-sphere-web/web/co-sphere/src/components/widget/notification/NotificationWidget.jsx                   | JavaScript JSX |         69 |          0 |          3 |         72 |
